Table S1.1 Energy levels for the 16O16O X^3\Sigma state v = 0 - 39
     (relative to 16O16O X^3\Sigma state v = 0, N = 1, J = 0)     
==================================================================
    v    N    J    K  Energy(cm-1)    Unc.(cm-1)    Degeneracy
  ---  ---  ---  ---  ------------  ------------  ------------
    0    1    0    0      0.000000      0.000000             1
    0    1    1    0      3.961085      0.000000             3
    0    1    2    0      2.084294      0.000000             5
    0    3    2    0     16.252864      0.000000             5
    0    3    3    0     18.337181      0.000000             7
    0    3    4    0     16.387612      0.000000             9
    0    5    4    0     42.200120      0.000000             9
    0    5    5    0     44.211714      0.000000            11
    0    5    6    0     42.223972      0.000000            13
    0    7    6    0     79.606995      0.000001            13
    0    7    7    0     81.580501      0.000001            15
    0    7    8    0     79.564614      0.000001            17
    0    9    8    0    128.492027      0.000001            17
    0    9    9    0    130.437502      0.000001            19
    0    9   10    0    128.397739      0.000001            21
    0   11   10    0    188.853071      0.000001            21
    0   11   11    0    190.774817      0.000001            23
    0   11   12    0    188.713386      0.000002            25
    0   13   12    0    260.682433      0.000002            25
    0   13   13    0    262.582688      0.000002            27
    0   13   14    0    260.500873      0.000002            29
    0   15   14    0    343.969416      0.000002            29
    0   15   15    0    345.849496      0.000002            31
    0   15   16    0    343.748110      0.000002            33
    0   17   16    0    438.701020      0.000003            33
    0   17   17    0    440.561768      0.000003            35
    0   17   18    0    438.441350      0.000003            37
    0   19   18    0    544.862180      0.000005            37
    0   19   19    0    546.704167      0.000005            39
    0   19   20    0    544.565095      0.000005            41
    0   21   20    0    662.435867      0.000007            41
    0   21   21    0    664.259501      0.000007            43
    0   21   22    0    662.102045      0.000007            45
    0   23   22    0    791.403135      0.000011            45
    0   23   23    0    793.208718      0.000011            47
    0   23   24    0    791.033077      0.000011            49
    0   25   24    0    931.743146      0.000016            49
    0   25   25    0    933.530908      0.000016            51
    0   25   26    0    931.337232      0.000016            53
    0   27   26    0   1083.433181      0.000023            53
    0   27   27    0   1085.203303      0.000023            55
    0   27   28    0   1082.991703      0.000023            57
    0   29   28    0   1246.448649      0.000031            57
    0   29   29    0   1248.201274      0.000031            59
    0   29   30    0   1245.971838      0.000031            61
    0   31   30    0   1420.763091      0.000042            61
    0   31   31    0   1422.498338      0.000042            63
    0   31   32    0   1420.251131      0.000042            65
    0   33   32    0   1606.348183      0.000056            65
    0   33   33    0   1608.066150      0.000056            67
    0   33   34    0   1605.801221      0.000056            69
    0   35   34    0   1803.173740      0.000074            69
    0   35   35    0   1804.874507      0.000074            71
    0   35   36    0   1802.591895      0.000074            73
    0   37   36    0   2011.207713      0.000096            73
    0   37   37    0   2012.891351      0.000096            75
    0   37   38    0   2010.591083      0.000096            77
    0   39   38    0   2230.416194      0.000122            77
    0   39   39    0   2232.082763      0.000122            79
    0   39   40    0   2229.764859      0.000122            81
    0   41   40    0   2460.763415      0.000155            81
    0   41   41    0   2462.412967      0.000155            83
    0   41   42    0   2460.077439      0.000155            85
    0   43   42    0   2702.211748      0.000196            85
    0   43   43    0   2703.844328      0.000196            87
    0   43   44    0   2701.491185      0.000196            89
    0   45   44    0   2954.721707      0.000246            89
    0   45   45    0   2956.337355      0.000246            91
    0   45   46    0   2953.966598      0.000246            93
    0   47   46    0   3218.251946      0.000306            93
    0   47   47    0   3219.850698      0.000306            95
    0   47   48    0   3217.462327      0.000306            97
    0   49   48    0   3492.759262      0.000380            97
    0   49   49    0   3494.341150      0.000380            99
    0   49   50    0   3491.935160      0.000380           101
    0   51   50    0   3778.198593      0.000468           101
    0   51   51    0   3779.763647      0.000468           103
    0   51   52    0   3777.340029      0.000468           105
    0   53   52    0   4074.523020      0.000575           105
    0   53   53    0   4076.071265      0.000575           107
    0   53   54    0   4073.630009      0.000575           109
    0   55   54    0   4381.683767      0.000703           109
    0   55   55    0   4383.215227      0.000703           111
    0   55   56    0   4380.756319      0.000703           113
    0   57   56    0   4699.630197      0.000855           113
    0   57   57    0   4701.144894      0.000855           115
    0   57   58    0   4698.668319      0.000855           117
    0   59   58    0   5028.309821      0.001037           117
    0   59   59    0   5029.807774      0.001037           119
    0   59   60    0   5027.313514      0.001037           121
    0   61   60    0   5367.668288      0.001251           121
